t,iso3,variable,mid,lo,hi,year,relprec
2019,ETH,Itot,279263.91495395,216874.715445087,375037.054900006,2019,14.4478156377231
2019,KEN,Itot,109709.662815095,83492.7755544798,161854.752169757,2019,18.2210934242411
2019,LSO,Itot,12246.9240416801,10298.4280451354,15241.1770050191,2019,10.2956901064941
2019,MOZ,Itot,108173.449848655,87834.3772093684,141437.970702192,2019,12.641166676518
2019,MWI,Itot,29087.6142590101,22413.5792119011,41725.7131310451,2019,16.9369846953529
2019,NGA,Itot,377535.743812713,295420.467517765,498544.127947698,2019,13.7251270013427
2019,SWZ,Itot,5086.20290684552,2879.9465055882,7285.57926330842,2019,22.0967572109452
2019,TZA,Itot,129399.484723867,92915.171357296,190834.760371801,2019,19.3041626454706
2019,UGA,Itot,90058.7591201108,66946.3248047941,114450.263964922,2019,13.4560501887453
2019,ZAF,Itot,519060.900887244,448391.961204667,620466.372815896,2019,8.45691391882139
2019,ZMB,Itot,62181.5432901189,50472.5015521232,95945.8695551709,2019,18.6556144582097
2019,ZWE,Itot,50110.0585380947,37283.9129793916,61469.1023922751,2019,12.312280920737
2019,ETH,mort,71492.6118907078,45201.2279315066,120790.421211649,2019,26.9719583037507
2019,KEN,mort,30552.0434866898,20393.4727617038,51975.790627291,2019,26.3704578213604
2019,LSO,mort,3231.71140789075,2355.02416672046,5161.17913294992,2019,22.1509834381909
2019,MOZ,mort,31018.0791359069,19633.1757650803,50695.613975414,2019,25.5466863227328
2019,MWI,mort,8450.07648830026,5433.73140516083,14495.5697642682,2019,27.357071408249
2019,NGA,mort,119340.242288125,81904.2891771079,184017.908770705,2019,21.8278363224512
2019,SWZ,mort,1286.03551047809,660.843397486637,2212.96410715669,2019,30.7883536188608
2019,TZA,mort,37360.6179158527,23792.0744855314,58575.4617449247,2019,23.7504451782923
2019,UGA,mort,27844.7713146081,16935.237957948,37924.8585366812,2019,19.2298043503273
2019,ZAF,mort,151897.228892201,108358.728961111,202438.663915969,2019,15.8001456523502
2019,ZMB,mort,16651.6506956909,10879.7441547043,26742.0943450384,2019,24.3010016222876
2019,ZWE,mort,13704.3590645539,9048.84085699211,20206.2370072472,2019,20.7691181668477
2019,ETH,prev,364.46929142902,242.861861649468,640.146960023403,2019,27.8070723005873
2019,KEN,prev,223.071837245121,161.242475313747,386.190138754589,2019,25.7247211164386
2019,LSO,prev,486.991038137832,312.860918306516,940.722530789052,2019,32.8894714997183
2019,MOZ,prev,337.186252541689,218.259957007869,560.677947949,2019,25.9060171175007
2019,MWI,prev,192.178916186578,106.275742180384,369.071002834562,2019,34.88395534745
2019,NGA,prev,488.163251773373,319.925199346039,678.211478340026,2019,18.7231547306812
2019,SWZ,prev,234.954377078802,96.1084211165548,673.714580877869,2019,62.7136689152944
2019,TZA,prev,342.774357192417,178.19860638559,599.593747637157,2019,31.3613776140828
2019,UGA,prev,327.590526024313,173.742778268542,546.833213174557,2019,29.0533833528847
2019,ZAF,prev,695.397231438673,524.133132411518,971.254221115847,2019,16.402352075017
2019,ZMB,prev,400.61961516941,250.171333722596,652.447095766643,2019,25.6156623347022
2019,ZWE,prev,301.609299346274,189.987249285679,612.378832466211,2019,35.7260055066415
